Knesset,Party,Name,Gender,Age,Birth Year,Birth Name,Hebraized Name?,Birthplace,Type of Birth Locality,Birth Region,Birth Country,Birth Country (Present),Date of Immigration,Community,Notes
1949-1951,Sephardim & Oriental Communities,Avraham Elmalih,Male,63,1885,Avraham Elmalih,0,Jerusalem,City,Mutassarifate of Jerusalem,Ottoman Empire,Israel,-,Sephardi,
1949-1951,Sephardim & Oriental Communities,Bechor-Shalom Sheetrit,Male,53,1895,Bechor-Shalom Sheetrit,0,Tiberias,Town,Beirut Vilayet,Ottoman Empire,Israel,-,Sephardi,
1949-1951,Democratic List of Nazareth,Seif-El-Din El-Zubi,Male,35,1913,Seif-El-Din El-Zubi,0,Nazareth,Town,Beirut Vilayet,Ottoman Empire,Israel,-,Arab Muslim,
1949-1951,Democratic List of Nazareth,Amin-Salim Jarjora,Male,62,1886,Amin-Salim Jarjora,0,Nazareth,Town,Beirut Vilayet,Ottoman Empire,Israel,-,Arab Christian,
1949-1951,Fighters' List,Nathan Yellin-Mor,Male,35,1913,Nathan Friedman-Yellin,1,Grodno,City,Grodno Governorate,Russian Empire,Belarus,-,Ashkenazi ,
1949-1951,Yemenite Association,Zecharia Glosca,Male,54,1894,unknown,unknown,Hidan,Town,Yemen Vilayet,Ottoman Empire,Yemen,1909,Mizrahi,
1949-1951,Women's International Zionist Organization,Rachel Cohen-Kagan,Female,60,1888,Rachel Lubarsky,0,Odessa,City,Kherson Governorate,Russian Empire,Ukraine,1919,Ashkenazi ,
1949-1951,Mapai,Jenia Tversky,Female,44,1904,Genia Gintsburg,0,Baranovichi,Town,Minsk Governorate,Russian Empire,Belarus,1923,Ashkenazi,Filled vacancy left by Heshel Frumkin from 5/2/1951
1949-1951,Mapai,Baruch Osnia,Male,45,1905,Baruch Eisenstadt,1,Pinsk,City,Minsk Governorate,Russian Empire,Belarus,1933,Ashkenazi,Filled vacancy left by Abba Hushi from 12/2/1951
1949-1951,Mapai,Rafael Bash,Male,38,1913,unknown,unknown,Rezhitsa,Town,Vitebsk Governorate,Russian Empire,Latvia,1938,Ashkenazi,Filled vacancy left by Yosef-Michael Lamm from 21/5/1951
1949-1951,Mapai,Yisrael Yeshayahu,Male,42,1908,Yisrael Yeshayahu-Sharabi,0,Sadeh,Town,Yemen Vilayet,Ottoman Empire,Yemen,1929,Mizrahi,Filled vacancy left by Aryeh Sheftel from 12/2/1951
1949-1951,Mapai,Herzl Berger,Male,46,1904,Benjamin Herzl Berger,0,Minsk ,City,Minsk Governorate,Russian Empire,Belarus,1934,Ashkenazi,Filled vacancy left by Yehudit Simhonit from 5/2/1951
1949-1951,Mapai,Yitzhak Kanav,Male,54,1896,Yitzhak Kanevsky,1,Melitopol,Town,Taurida Governorate,Russian Empire,Ukraine,1919,Ashkenazi,Filled vacancy left by Avraham Taviv from 20/4/1950
1949-1951,Mapai,Menachem Cohen,Male,38,1922,Menachem Cohen,0,Jerusalem,City,Jerusalem District,Mandatory Palestine,Israel,-,Ashkenazi,Filled vacancy left by David Remez from 19/5/1951
1949-1951,Mapam,Menachem Ratzon,Male,31,1919,unknown,unknown,Petah Tikva,Town,Lydda District,Mandatory Palestine,Israel,-,unknown,Filled vacancy left by Dov Bar-Nir from 10/4/1951
1949-1951,Mapam,David Livschitz,Male,53,1897,David Livschitz,0,Zhytomyr,City,Volhynia Governorate,Russian Empire,Ukraine,1938,Ashkenazi,Filled vacancy left by Yitzhak Tabenkin from 12/4/1951
1949-1951,United Religious Front,Eliyahu Mazur,Male,59,1889,Eljasz Mazur,1,Zagórów,Town,Kalisz Governorate,Congress Poland,Poland,1940,Ashkenazi,Filled vacancy left by Moshe Kelmer from 11/3/1949
